 (New), (Baru)
Avg Won Deal Value,Rata-rata Nilai Kesepakatan yang Dimenangkan
Avg. deal value,Rerata nilai kesepakatan
Avg. ongoing deal value,Rerata nilai kesepakatan yang sedang berjalan
Avg. time to close a deal,Rerata waktu untuk menutup kesepakatan
Avg. time to close a lead,Rerata waktu untuk menutup prospek
Avg. won deal value,Rerata nilai kesepakatan yang berhasil
Axis Chart,Bagan Sumbu
BCC,BCC
Back,Kembali
Back to All Logs,Kembali ke Semua Log
Back to File Upload,Kembali ke Unggah File
Background Sync Frequency,Frekuensi Sinkronisasi Latar Belakang
Backlog,Backlog
Between,Antara
Brand,Merek
Brand Logo,Logo Merek
Brand Name,Nama Merek
Brand Settings,Pengaturan Merek
Branding,Branding
Bulk Edit,Edit Massal
Busy,Sibuk
CC,CC
CRM Call Log,CRM Log Panggilan
CRM Communication Status,CRM Status Komunikasi
CRM Contacts,CRM Kontak
CRM Dashboard,CRM Dasbor
CRM Deal,CRM Kesepakatan
CRM Deal Status,CRM Status Kesepakatan
CRM Dropdown Item,CRM Item Dropdown
CRM Exotel Settings,CRM Pengaturan Exotel
CRM Fields Layout,CRM Layout Bidang
CRM Form Script,CRM Skrip Formulir
CRM Global Settings,CRM Pengaturan Global
CRM Holiday,CRM Hari Libur
CRM Holiday List,CRM Daftar Hari Libur
CRM Industry,CRM Industri
CRM Invitation,CRM Undangan
CRM Lead,CRM Prospek
CRM Lead Source,CRM Sumber Prospek
CRM Lead Status,CRM Status Prospek
CRM Lost Reason,CRM Alasan Kegagalan
CRM Notification,CRM Notifikasi
CRM Organization,CRM Organisasi
CRM Portal Page,CRM Halaman Portal
CRM Product,CRM Produk
CRM Products,CRM Produk
CRM Rolling Response Time,Waktu Respons Bergulir CRM
CRM Service Day,CRM Hari Pelayanan
CRM Service Level Agreement,CRM Perjanjian Tingkat Layanan
CRM Service Level Priority,CRM Prioritas Tingkat Layanan
CRM Status Change Log,CRM Log Perubahan Status
CRM Task,CRM Tugas
CRM Telephony Agent,CRM Agen Telepon
CRM Telephony Phone,CRM Telepon
CRM Territory,CRM Wilayah
CRM Twilio Settings,CRM Pengaturan Twilio
CRM View Settings,CRM Pengaturan Tampilan
CSV,CSV
Calendar,Kalender
Calendar Settings,Pengaturan Kalender
Call Details,Detail Panggilan
Call Log,Log Panggilan
Call Received By,Panggilan Diterima Oleh
Call log not found,Log panggilan tidak ditemukan
Call using {0},Panggil menggunakan {0}
Call with John Doe,Panggilan dengan John Doe
Caller,Penelepon
Calling Medium,Media Panggilan
Calling...,Memanggil...
Calls,Panggilan
Camera,Kamera
Can't retry sync for this without source!,Tidak dapat mencoba ulang sinkronisasi untuk ini tanpa sumber!
Cancel,Batalkan
Canceled,Dibatalkan
Cannot assign this role,Tidak dapat menetapkan peran ini
Cannot change role of user with Admin access,Peran pengguna dengan akses Admin tidak dapat diubah
Cannot delete standard items {0},Tidak dapat menghapus item standar {0}
Cannot enable rule without adding users in it,Tidak dapat mengaktifkan aturan tanpa menambahkan pengguna di dalamnya
Cannot invite for this role,Tidak dapat mengundang untuk peran ini
Capture,Ambil Gambar
Capturing Leads,Menangkap Prospek
Category,Kategori
Change,Ubah
Change Image,Ubah Gambar
Change Password,Ubah Kata Sandi
Change Photo,Ubah Foto
Change Status,Ubah Status
Change deal status,Ubah status kesepakatan
Change language of the application.,Ubah bahasa aplikasi.
Change timezone of the application.,Ubah zona waktu aplikasi.
Change your account password for security.,Ubah kata sandi akun Anda untuk keamanan.
Chart,Bagan
Chart Type,Jenis Bagan
Choose Existing,Pilih yang Ada
Choose Existing Contact,Pilih Kontak yang Ada
Choose Existing Organization,Pilih Organisasi yang Ada
Choose how long this SLA policy will be active.,Pilih berapa lama kebijakan SLA ini akan aktif.
Choose how you want to use the application by setting your preferences.,Pilih bagaimana Anda ingin menggunakan aplikasi dengan mengatur preferensi Anda.
Choose the Email Service Provider you want to configure.,Pilih Penyedia Layanan Email yang ingin Anda konfigurasi.
Choose the days of the week when this rule should be active.,Pilih hari dalam seminggu kapan aturan ini harus aktif.
Choose which leads/deals are affected by this policy.,Pilih prospek/transaksi mana yang terpengaruh oleh kebijakan ini.
Clear,Kosongkan
Clear All Filters,Hapus Semua Filter
Clear Assignment,Hapus Penugasan
Clear Demo Data,Hapus Data Demo
Clear Sort,Hapus Urutan
Clear Table,Kosongkan Tabel
Click on the link below to complete your registration and set a new password,Klik link di bawah ini untuk melengkapi pendaftaran Anda dan mengatur sandi baru
Close,Tutup
Close Panel,Tutup Panel
Closed Date,Tanggal Penutupan
Collapse,Ciutkan
Collapsible,Dapat diciutkan
Color,Warna
Column,Kolom
Column Field,Bidang Kolom
Columns,Kolom
Comment,Komentar
Comment sent,Komentar terkirim
Comments,Komentar
Common reasons for losing deals,Alasan umum gagalnya kesepakatan
Communication Status,Status Komunikasi
Communication Statuses,Status Komunikasi
Company Name,Nama Perusahaan
Company in ERPNext site,Perusahaan di situs GARP ERP
Company name is required,Nama perusahaan wajib diisi
Complete Registration,Pendaftaran Lengkap
Completed,Selesai
Computer,Komputer
Condition,Kondisi
Conditions for this rule were created from,Ketentuan untuk aturan ini dibuat dari
Configure,Konfigurasikan
Configure Telephony Settings for your CRM,Konfigurasikan Pengaturan Teleponi untuk CRM Anda
Configure actions that appear on the home dropdown,Konfigurasikan tindakan yang muncul di dropdown beranda
"Configure default settings for your CRM system, including default currency, date formats, and other system-wide preferences to ensure consistency across your system.","Konfigurasikan pengaturan default untuk sistem CRM Anda, termasuk mata uang default, format tanggal, dan preferensi seluruh sistem lainnya untuk memastikan konsistensi di seluruh sistem Anda."
Configure general settings for your application,Konfigurasikan pengaturan umum untuk aplikasi Anda
"Configure how your dashboard calculates, formats, and displays key metrics, including forecasting, deal values, and currency settings","Konfigurasikan cara dasbor Anda menghitung, memformat, dan menampilkan metrik utama, termasuk perkiraan, nilai transaksi, dan pengaturan mata uang"
Configure the Exchange Rate Provider for your CRM,Konfigurasikan Penyedia Nilai Tukar untuk CRM Anda
"Configure your Brand Name, Logo, and Favicon","Konfigurasikan Nama Merek, Logo, dan Favicon Anda"
Configure your Calendar Settings like Default View and Event Notifications here,Konfigurasikan Pengaturan Kalender Anda seperti Tampilan Default dan Pemberitahuan Acara di sini
Configure your Exotel Telephony Integration Settings here,Konfigurasikan Pengaturan Integrasi Teleponi Exotel Anda di sini
Configure your Twilio Telephony Integration Settings here,Konfigurasikan Pengaturan Integrasi Teleponi Twilio Anda di sini
Confirm,Konfirmasi
Confirm Delete,Konfirmasi Hapus
Confirm Overwrite,Konfirmasi Timpa
Confirm Password,Konfirmasi Password
Connect ERPNext to Frappe CRM,Hubungkan GARP ERP ke GARP CRM
Contact,Kontak
Contact Added,Kontak Ditambahkan
Contact Already Added,Kontak Sudah Ditambahkan
Contact Already Exists,Kontak Sudah Ada
Contact Image Updated,Gambar Kontak Diperbarui
Contact Removed,Kontak Dihapus
Contact Support,Hubungi Dukungan
Contact Updated,Kontak Diperbarui
Contact Us,Hubungi Kami
Contact already exists with {0},Kontak dengan {0} sudah ada
Contact image updated,Gambar kontak diperbarui
Contacts,Kontak
Content,Konten
Content Type,Tipe Konten
Content is required,Konten wajib diisi
"Controls how numbers are displayed (e.g., commas, decimal separators)","Mengontrol bagaimana angka ditampilkan (misalnya koma, pemisah desimal)"
Convert,Konversi
Convert lead to deal,Konversi prospek menjadi kesepakatan
Convert to Deal,Konversi menjadi Kesepakatan
Converted,Terkonversi
Converted Successfully,Berhasil Dikonversi
Copied to Clipboard,Disalin ke Papan Klip
Count,Jumlah
Create,Buat
Create Deal,Buat Kesepakatan
Create Event,Buat Acara
Create Lead,Buat Prospek
Create Lead from Incoming Emails,Buat Prospek dari Email Masuk
Create New,Buat Baru
Create New Holiday List,Buat Daftar Liburan Baru
Create Note,Buat Catatan
Create Task,Buat Tugas
Create View,Buat Tampilan
Create an Event,Buat Acara
Create customer in ERPNext when the deal status is changed,Buat pelanggan di GARP ERP ketika status kesepakatan diubah
Create customer on status change,Buat pelanggan saat perubahan status
Create quotation button on deal page and auto customer creation on deal status change will be disabled. Are you sure?,Tombol buat penawaran pada halaman transaksi dan pembuatan pelanggan otomatis pada perubahan status transaksi akan dinonaktifkan. Apa kamu yakin?
Create your first lead,Buat prospek pertama Anda
Create your first note,Buat catatan pertama Anda
Create your first task,Buat tugas pertama Anda
Currency,Mata uang
Currency Precision,Presisi mata uang
Currency set as {0} successfully,Mata uang berhasil diatur sebagai {0}
Current Password,Kata Sandi Saat Ini
Current pipeline distribution,Distribusi pipeline saat ini
Custom Actions,Tindakan Kustom
Custom Branding,Merek Khusus
Custom Fields,Bidang Kustom
Custom List Actions,Tindakan Daftar Kustom
Custom Range,Rentang Kustom
Custom Statuses,Status Kustom
Customer Created Successfully,Pelanggan Berhasil Dibuat
Customization,Kustomisasi
Customize Quick Filters,Sesuaikan Filter Cepat
Daily,Sehari-hari
"Daily performance of leads, deals, and wins","Kinerja harian prospek, kesepakatan, dan Ketercapaian Target"
Dark,Gelap
Dashboard,Dasbor
Dashboard Currency,Mata Uang Dasbor
"Dashboard number cards & charts will show currency in the selected format. Once set, cannot be edited.","Kartu & bagan nomor dasbor akan menampilkan mata uang dalam format yang dipilih. Setelah disetel, tidak dapat diedit."
Dashboard settings updated successfully,Pengaturan dasbor berhasil diperbarui
Data,Data
Data Fields,Bidang Data
Data Import,Impor data
Date,Tanggal
Date & Time,Tanggal & Waktu
Date Format,Format Tanggal
Day,Hari
Deal,Kesepakatan
Deal Owner,Pemilik Kesepakatan
Deal Status,Status Kesepakatan
Deal Statuses,Status Kesepakatan
Deal Value,Nilai Kesepakatan
Deal generation channel analysis,Analisis saluran perolehan kesepakatan
Deal status is required,Status transaksi diperlukan
Deal value,Nilai kesepakatan
Deals,Kesepakatan
Deals by Ongoing & Won Stage,Penawaran berdasarkan Tahap yang Sedang Berlangsung & Dimenangkan
Deals by Salesperson,Penawaran oleh Penjual
Deals by Source,Penawaran berdasarkan Sumber
Deals by Stage,Penawaran berdasarkan Tahap
Deals by Territory,Penawaran berdasarkan Wilayah
Deals by ongoing & won stage,Kesepakatan berdasarkan tahap sedang berjalan & tahap berhasil
Deals by salesperson,Kesepakatan berdasarkan tenaga penjualan
Deals by source,Kesepakatan berdasarkan sumber
Deals by stage,Kesepakatan berdasarkan tahap
Deals by territory,Kesepakatan berdasarkan wilayah
"Dear {{ lead_name }}, \n\nThis is a reminder for the payment of {{ grand_total }}. \n\nThanks, \nFrappé","Yang Terhormat {{ lead_name }},\n\nDengan ini, kami ingin mengingatkan mengenai pembayaran sebesar {{ grand_total }}.\n\nHormat kami,\nFrappé"
Declined,Ditolak
Default,Default
Default Calendar View,Tampilan Kalender Default
Default Calling Medium for Logged In User,Media Panggilan Default untuk Pengguna yang Masuk
Default Event Notifications,Pemberitahuan Acara Default
Default Inbox,Kotak Masuk Default
Default Incoming,Email Masuk Default
Default Medium,Media Default
Default Outgoing,Email Keluar Default
Default Priority,Prioritas Default
Default Sending,Pengiriman Email Default
Default Sending & Inbox,Pengiriman & Kotak Masuk Default
Default Service Level Agreement already exists for {0},Perjanjian Tingkat Layanan Default sudah ada untuk {0}
Default View,Tampilan Bawaan
Default calling medium set successfully to {0},Media panggilan default berhasil diatur ke {0}
"Default statuses, custom fields and layouts restored successfully.","Status default, bidang kustom, dan layout berhasil dipulihkan."
Defaults,Nilai Default
"Defines the default currency for all records, can be overridden at the field level","Mendefinisikan mata uang default untuk semua catatan, dapat diganti di tingkat bidang"
Delete,Hapus
Delete & Restore,Hapus & Pulihkan
Delete All,Hapus Semua
Delete Attachment,Hapus Lampiran
Delete Contact,Hapus Kontak
Delete Event,Hapus Acara
Delete Invitation,Hapus Undangan
Delete Linked Item,Hapus Item Tertaut
Delete Organization,Hapus Organisasi
Delete Task,Hapus Tugas
Delete View,Hapus Tampilan
Delete or unlink linked documents,Hapus atau lepas dokumen tertaut
Delete or unlink these linked documents before deleting this document,Hapus atau lepas dokumen tertaut ini sebelum menghapus dokumen ini
Delete {0} items,Hapus {0} item
Deleting note...,Menghapus catatan...
Demo data restored successfully.,Data demo berhasil dipulihkan.
Description,Deskripsi
Description is required,Deskripsi diperlukan
Desk,Area Kerja
Details,Detail
Device,Perangkat
Disable,Nonaktifkan
Disable ERPNext Integration,Nonaktifkan Integrasi GARP ERP
Disabled,Dinonaktifkan
Discard,Batalkan
Discard Changes,Buang Perubahan
Discard Unsaved Changes?,Buang Perubahan yang Belum Disimpan?
Discount %,Diskon %
Discount Amount,Jumlah Diskon
Display format for dates across the system,Format tampilan untuk tanggal di seluruh sistem
DocType,DocType
Doctype is required,Tipe dokumen diperlukan
Document Not Found,Dokumen Tidak Ditemukan
Document Type,Jenis Dokumen
Document created successfully,Dokumen berhasil dibuat
Document does not exist,Dokumen tidak ada
Document not found,Dokumen tidak ditemukan
Document updated successfully,Dokumen berhasil diperbarui
Documentation,Dokumentasi
Done,Selesai
Donut Chart,Bagan Donat
Download,Unduh
Drag & Drop files here or upload from,Seret & Jatuhkan file ke sini atau unggah dari
Drag a section or a field here to get started,Seret bagian atau bidang ke sini untuk memulai
Drop files here,Letakkan file di sini
Dropdown items,Item tarik-turun
Due Date,Tanggal Jatuh Tempo
Duplicate,Duplikat
Duplicate Assignment Rule,Aturan Penugasan Duplikat
Duplicate Event,Acara Duplikat
Duplicate SLA Policy,Kebijakan SLA Duplikat
Duplicate Template,Templat Duplikat
Duplicate View,Duplikasi Tampilan
Duplicate an Event,Gandakan Acara
Duration,Durasi
ERPNext,GARP ERP
ERPNext CRM Settings,Pengaturan CRM GARP ERP
ERPNext Settings,Pengaturan ERPBerikutnya
ERPNext Site API's,API Situs GARP ERP
ERPNext Site URL,URL Situs GARP ERP
ERPNext is not installed in the current site,GARP ERP tidak terpasang di situs ini
ERPNext is not installed on this site either install it or enter the URL of your ERPNext site to connect,"GARP ERP tidak diinstal di situs ini, instal saja atau masukkan URL situs GARP ERP Anda untuk terhubung"
ERPNext is not integrated with the CRM,GARP ERP tidak terintegrasi dengan CRM
Edit,Edit
Edit Call Log,Edit Log Panggilan
Edit Data Fields Layout,Edit Layout Bidang Data
Edit Email,Edit Email
Edit Event,Sunting Acara
Edit Field Layout,Edit Layout Bidang
Edit Fields Layout,Edit Tata Letak Bidang
Edit Grid Fields,Edit Bidang Kisi
Edit Grid Fields Layout,Edit Layout Bidang Grid
Edit Grid Row Fields Layout,Edit Layout Bidang Baris Grid
Edit Note,Edit Catatan
Edit Quick Entry Layout,Edit Layout Entri Cepat
Edit Response & Resolution,Edit Respons & Resolusi
Edit Row,Sunting Baris
Edit Task,Edit Tugas
Edit View,Edit Tampilan
Edit Workday,Sunting Hari Kerja
Edit an Event,Mengedit Acara
Editing Event,Mengedit Acara
Editing Row {0},Mengedit Baris {0}
Email,Email
Email Account,Akun Email
Email Account created successfully,Akun Email berhasil dibuat
Email Account updated successfully,Akun Email berhasil diperbarui
Email Accounts,Akun Email
Email Already Exists,Email Sudah Ada
Email Communication,Komunikasi Email
Email From Lead,Email Dari Pemimpin
Email ID,ID Surel
Email ID is required,ID Email wajib diisi
Email Sent At,Email Terkirim Pada
Email Settings,Pengaturan Surel
Email Template,Template Email
Email Templates,Templat Email
Email already exists,Email sudah ada
Email sent,Email terkirim
Email settings updated successfully,Setelan email berhasil diperbarui
Emails,Email
Emails & Signature,Email & Tanda Tangan
Empty,Kosong
Empty - Choose a field to filter by,Kosong - Pilih sebuah bidang untuk memfilter
Empty - Choose a field to sort by,Kosong - Pilih sebuah bidang untuk mengurutkan
Enable,Aktifkan
Enable Exotel integration to make and receive calls directly from your CRM,Aktifkan integrasi Exotel untuk membuat dan menerima panggilan langsung dari CRM Anda
Enable Forecasting,Aktifkan Forecasting
Enable Incoming,Aktifkan Email Masuk
Enable Outgoing,Aktifkan Email Keluar
Enable Twilio integration to make and receive calls directly from your CRM,Aktifkan integrasi Twilio untuk membuat dan menerima panggilan langsung dari CRM Anda
Enable call recording for incoming and outgoing calls,Aktifkan rekaman panggilan untuk panggilan masuk dan keluar
Enable the integration to create quotations and auto create customers in ERPNext.,Aktifkan integrasi untuk membuat penawaran harga dan membuat pelanggan secara otomatis di GARP ERP.
Enabled,Diaktifkan
Enabled?,Diaktifkan?
End Date,Tanggal Berakhir
End Date cannot be before start date,Tanggal Akhir tidak boleh sebelum tanggal mulai
End Time,Waktu Selesai
End Time Should Be After Start Time,Waktu Berakhir Harus Setelah Waktu Mulai
End Time is required,Waktu Berakhir diperlukan
End Time must be after Start Time,Waktu Berakhir harus setelah Waktu Mulai
Enter Access Key,Masukkan Kunci Akses
Enter Access Token,Masukkan Token Akses
Enter Brand Name,Masukkan Nama Merek
Enter Exotel Number,Masukkan Nomor Exotel
Enter Personal Mobile No.,Masukkan No Ponsel Pribadi.
Enter Twilio Number,Masukkan Nomor Twilio
Enter Value,Masukkan Nilai
Enter your Facebook Access Token,Masukkan Token Akses Facebook Anda
Enter your personal mobile number used by Exotel to make calls,Masukkan nomor ponsel pribadi Anda yang digunakan oleh Exotel untuk melakukan panggilan
Enter {0},Masukkan {0}
Equals,Sama dengan
Error Occurred,Terjadi Kesalahan
Error Syncing Lead,Terjadi Kesalahan saat Menyinkronkan Prospek
Error converting to deal: {0},Terjadi kesalahan saat mengonversi menjadi kesepakatan: {0}
Error creating Lead Sync Source,Terjadi kesalahan saat membuat Sumber Sinkronisasi Prospek
